attempt_id	execution_stage	repeat_id	device	case_id	corpus_partition	case_class	execution_tier	source_kind	query_sha256	reference_sha256	pair_digest	query_length	reference_length	expected_status	observed_status	numeric_path	cpu_score1	reducer_score1	gpu_score1	cpu_ref_end1	reducer_ref_end1	gpu_ref_end1	cpu_read_end1	gpu_read_end1	cpu_score2	reducer_score2	gpu_score2	cpu_ref_end2	reducer_ref_end2	gpu_ref_end2	reducer_equal	gpu_equal	column_equal	cpu_column_digest	gpu_column_digest	cpu_endpoint_digest	reducer_endpoint_digest	gpu_endpoint_digest	cpu_endpoint_calls	driver_returncode	formal_contract
p6-primary-tiny	primary	0	0	tiny-ac-q00-r10	tiny_exhaustive	ac_lengths_1_to_3	compact	generated	559aead08264d5795d3909718cdd05abd49572e84fe55590eef31a88a08fdffd	084696b5b2f035fe1cafbccda422b6aa15b40d1d73bc98d7782beb4d83a5bc7f	9f8759873bbee2784c74767cf42f37a431774f17cc9f956fe27387010f20dd81	1	3	complete	complete	byte8	5	5	5	1	1	1	0	0	0	0	0	0	0	0	1	1	1	41281cdda7121d00	41281cdda7121d00	eabc0c2fac53c886	eabc0c2fac53c886	eabc0c2fac53c886	0	0	L3_exact
p6-primary-tiny	primary	0	0	tiny-ac-q00-r11	tiny_exhaustive	ac_lengths_1_to_3	compact	generated	559aead08264d5795d3909718cdd05abd49572e84fe55590eef31a88a08fdffd	803859f5b9d6d170d5714b2d798c8bf5fbc9bd1806f6c108ed02adc6e6116004	62e759358be50ff8184c1ad48e3c0baabffb402ed75ee3bb9e6908e7eec5ab3a	1	3	complete	complete	byte8	5	5	5	1	1	1	0	0	0	0	0	0	0	0	1	1	1	41281cdda7121d00	41281cdda7121d00	eabc0c2fac53c886	eabc0c2fac53c886	eabc0c2fac53c886	0	0	L3_exact
p6-primary-tiny	primary	0	0	tiny-ac-q00-r12	tiny_exhaustive	ac_lengths_1_to_3	compact	generated	559aead08264d5795d3909718cdd05abd49572e84fe55590eef31a88a08fdffd	89932f8285bde9d693a0691a3400ba249f0d5c1357fe157dae3254112e489143	2e43f07507faaf941858537ac1044c679ca904c481253648d4ba1c0495b2f83b	1	3	complete	complete	byte8	5	5	5	2	2	2	0	0	0	0	0	0	0	0	1	1	1	e51b31ecf73183a5	e51b31ecf73183a5	4cdd7fe269ba8ce5	4cdd7fe269ba8ce5	4cdd7fe269ba8ce5	0	0	L3_exact
p6-primary-tiny	primary	0	0	tiny-ac-q00-r13	tiny_exhaustive	ac_lengths_1_to_3	compact	generated	559aead08264d5795d3909718cdd05abd49572e84fe55590eef31a88a08fdffd	8c55ff95a660f37cb05e644e7691e6c66593f453cb2cbaa4d64aa59b40ae8032	0701c2d2b1061f474ed254fa746880ff32eb3303bd7ad9a7f6af7912524dd752	1	3	complete	complete	byte8	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	1	1	1	ba2b6282a813a6a0	ba2b6282a813a6a0	44781d4e69bf6a1a	44781d4e69bf6a1a	44781d4e69bf6a1a	0	0	L3_exact
p6-primary-tiny	primary	0	0	tiny-ac-q01-r00	tiny_exhaustive	ac_lengths_1_to_3	compact	generated	6b23c0d5f35d1b11f9b683f0b0a617355deb11277d91ae091d399c655b87940d	559aead08264d5795d3909718cdd05abd49572e84fe55590eef31a88a08fdffd	cb1672a4164366da35178e36afdc64b01928103eb50817e3c3e853e570f6af10	1	1	complete	complete	byte8	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	1	1	1	842360170b01e222	842360170b01e222	44781d4e69bf6a1a	44781d4e69bf6a1a	44781d4e69bf6a1a	0	0	L3_exact
p6-primary-tiny	primary	0	0	tiny-ac-q01-r01	tiny_exhaustive	ac_lengths_1_to_3	compact	generated	6b23c0d5f35d1b11f9b683f0b0a617355deb11277d91ae091d399c655b87940d	6b23c0d5f35d1b11f9b683f0b0a617355deb11277d91ae091d399c655b87940d	b8017dae394bf931b74884c58b450f451db51b717c3fd876d95e07a6c1be0676	1	1	complete	complete	byte8	5	5	5	0	0	0	0	0	0	0	0	0	0	0	1	1	1	af132f815a1fbf27	af132f815a1fbf27	8a1591774f5fc227	8a1591774f5fc227	8a1591774f5fc227	0	0	L3_exact
p6-primary-tiny	primary	0	0	tiny-ac-q01-r02	tiny_exhaustive	ac_lengths_1_to_3	compact	generated	6b23c0d5f35d1b11f9b683f0b0a617355deb11277d91ae091d399c655b87940d	58bb119c35513a451d24dc20ef0e9031ec85b35bfc919d263e7e5d9868909cb5	fd6181f5623e887ce9601f627a229589e4f1f500ce54f87686614591fa522836	1	2	complete	complete	byte8	0	0	0	-1	-1	-1	0	0	0	0	0	0	0	0	1	1	1	9a5d4ea665907e61	9a5d4ea665907e61	44781d4e69bf6a1a	44781d4e69bf6a1a	44781d4e69bf6a1a	0	0	L3_exact
p6-primary-tiny	primary	0	0	tiny-ac-q01-r03	tiny_exhaustive	ac_lengths_1_to_3	compact	generated	6b23c0d5f35d1b11f9b683f0b0a617355deb11277d91ae091d399c655b87940d	472e73d796e20aa8ff9059e6316f218e0322548f661ec4dc267507ed66317404	dbe02e95b83a42af2bbe21d16ddc7b7da693888a6770781b5d4c2c0824aa7afb	1	2	complete	complete	byte8	5	5	5	1	1	1	0	0	0	0	0	0	0	0	1	1	1	87578ffe9ecfc724	87578ffe9ecfc724	eabc0c2fac53c886	eabc0c2fac53c886	eabc0c2fac53c886	0	0	L3_exact
p6-primary-tiny	primary	0	0	tiny-ac-q01-r04	tiny_exhaustive	ac_lengths_1_to_3	compact	generated	6b23c0d5f35d1b11f9b683f0b0a617355deb11277d91ae091d399c655b87940d	4b650e5c4785025dee7bd65e3c5c527356717d7a1c0bfef5b4ada8ca1e9cbe17	c721392ce5f52aeaba78c891ee9515fc45b7a6f6abebb84063ed19a71703cee0	1	2	complete	complete	byte8	5	5	5	0	0	0	0	0	0	0	0	0	0	0	1	1	1	215a0901648ef4c1	215a0901648ef4c1	8a1591774f5fc227	8a1591774f5fc227	8a1591774f5fc227	0	0	L3_exact
p6-primary-tiny	primary	0	0	tiny-ac-q01-r05	tiny_exhaustive	ac_lengths_1_to_3	compact	generated	6b23c0d5f35d1b11f9b683f0b0a617355deb11277d91ae091d399c655b87940d	a56362a10c816abf206d72cb914e2d5ca454eb9c7e744f88b1a1422c379e9942	2b012e46487092bd3eb6b282583e7ced09f461b2a43f34d3db36ba80aba2218e	1	2	complete	complete	byte8	5	5	5	0	0	0	0	0	0	0	0	0	0	0	1	1	1	215a0901648ef4c1	215a0901648ef4c1	8a1591774f5fc227	8a1591774f5fc227	8a1591774f5fc227	0	0	L3_exact
