dataset_id	outer_lncRNA_id	arm	region_count	positive_count	prevalence	aucpr	recall_at_P	precision_at_P	fold_enrichment	log_enrichment	zero_precision
bte_hotair_gse31332	lncrna_hotair	A	1000	100	0.10000000000000001	0.1006262385956727	0.11	0.11	1.0999999999999999	0.095310179804324741	0
bte_hotair_gse31332	lncrna_hotair	G	1000	100	0.10000000000000001	0.1006262385956727	0.11	0.11	1.0999999999999999	0.095310179804324741	0
bte_hottip_gse114981	lncrna_hottip	A	1000	100	0.10000000000000001	0.12174735932442977	0.12	0.12	1.2	0.18232155679395459	0
bte_hottip_gse114981	lncrna_hottip	G	1000	100	0.10000000000000001	0.12174735932442977	0.12	0.12	1.2	0.18232155679395459	0
bte_linc01116_gse227804	lncrna_linc01116	A	1000	100	0.10000000000000001	0.13343741280768598	0.14000000000000001	0.14000000000000001	1.4000000000000001	0.33647223662121301	0
bte_linc01116_gse227804	lncrna_linc01116	G	1000	100	0.10000000000000001	0.13320272930286287	0.14000000000000001	0.14000000000000001	1.4000000000000001	0.33647223662121301	0
bte_pcgem1_gse47804	lncrna_pcgem1	A	1000	100	0.10000000000000001	0.1154709202224344	0.14999999999999999	0.14999999999999999	1.4999999999999998	0.40546510810816422	0
bte_pcgem1_gse47804	lncrna_pcgem1	G	1000	100	0.10000000000000001	0.1154709202224344	0.14999999999999999	0.14999999999999999	1.4999999999999998	0.40546510810816422	0
bte_sra_gse58641	lncrna_sra	A	1000	100	0.10000000000000001	0.12372788262550355	0.12	0.12	1.2	0.18232155679395459	0
bte_sra_gse58641	lncrna_sra	G	1000	100	0.10000000000000001	0.12372788262550355	0.12	0.12	1.2	0.18232155679395459	0
