replicate	E1	E2	E3	E4
1	0	0	0.0087245589201521735	0.10670671129777518
2	-7.3157747000007767e-05	0	0.027510430876151237	0.364786127983666
3	-5.5817471250235731e-05	0	0.015851240648941535	0.05262451312337648
4	0	0	0.011002798065150716	0.1867924486081754
5	-0.0001399005622423427	0	0.011888602029695194	0.11026260595997225
6	-5.1388056899831502e-05	0	0.0082270422736949733	0.10650063809511215
7	0	0	0.0073478687186536188	0.10730951417689609
8	-0.00012862316344222079	0	0.020945774072562241	0.10448400163841179
9	-2.204261488092385e-05	0	0.0093983125139773076	0.11040416035302685
10	0	0	0.023048819502842512	0.35834035571689993
11	-0.00011916062323443776	0	0.022215478920362942	0.14622679772413055
12	-2.0400032573836269e-05	0	0.024566765096254599	0.25661654144689849
13	-1.5293874467281475e-05	0	0.01841184910032035	0.19703866571196152
14	0	0	0.018318518385130801	0.27007171658339452
15	0	0	0.01831889293329942	0.2534885942107824
16	-0.00013547802321230983	0	0.022054790291909404	0.334247322767463
17	-0.00011048187253160923	0	0.016833100056752318	0.08788969029210103
18	-2.6029541992689252e-05	0	0.025271423003191573	0.18516503979110949
19	-0.00017834959417384333	0	0.024463451222671018	0.29294881108002563
20	-1.6846162450673276e-05	0	0.025043849454015988	0.12028543233604742
21	-5.3791826450577672e-05	0	0.027983863698995481	0.27125272395473787
22	-0.00011108110883736866	0	0.010054857808145504	0.039866595441794231
23	0	0	0.019610668330327447	0.17774112650045287
24	-6.8981571853077297e-05	0	0.028328223730033388	0.31759235490912596
25	-0.00011856977219938391	0	0.024379169633089247	0.24096713219034349
26	-3.4229234363025716e-07	0	0.010107924455495637	0.085064059857160035
27	-1.7812422676583006e-05	0	0.017196587767971224	0.10308531053987338
28	-8.6438809098199339e-07	0	0.018317644679227245	0.208599574924835
29	-8.5627499530716025e-05	0	0.013587326276007592	0.064751320229795878
30	0	0	0.019296327742466406	0.13379738042952843
31	-5.9417052206783835e-05	0	0.016015377163483779	0.16368459152275833
32	-0.00016213507173228891	0	0.016982802312306054	0.14136509362004449
33	0	0	0.016042490194875574	0.060640776495853088
34	-3.9751767250129078e-07	0	0.035742541042551777	0.46154534190638535
35	0	0	0.025945095203838621	0.16719570176068901
36	0	0	0.029899341537730873	0.376031265135018
37	0	0	0.029906056998827063	0.33266902930060216
38	0	0	0.017077724406893605	0.34766013839017218
39	-8.7170938090630481e-07	0	0.020434420301599143	0.24274028954000354
40	0	0	0.0044827550929557314	-0.0092986030540773042
41	0	0	0.014999796604321242	0.21046526677797103
42	0	0	0.014708237022207129	0.28884786370550569
43	-6.7750255430887305e-05	0	0.021988627291387793	0.34458333832985166
44	0	0	0.016367331141319094	0.14372658675457931
45	0	0	0.011971110241187683	0.21882198691469359
46	0	0	-0.0010938943174484046	0.014507562992681517
47	0	0	0.017817003176225442	0.032278923034110826
48	0	0	0.0081322941479175272	0.028753926646496741
49	0	0	0.030563413401014171	0.35469092257819101
50	-4.1388642796913452e-05	0	0.029866127010304333	0.2030516887728957
51	-0.00014000757816610144	0	0.024913803424552516	0.40487103371418909
52	-0.00011386217782956565	0	0.017093853777678497	0.063537381963307715
53	-7.8277377085778085e-05	0	0.034397551094025536	0.47220365275934162
54	-9.702912468294578e-05	0	0.02429598900840128	0.293054980352287
55	-0.00016454888037833459	0	0.029441599798640382	0.26289940250122346
56	-3.5662971930261464e-05	0	0.028133960495729676	0.43065118646348877
57	-4.6765183254432466e-05	0	0.025614433278624782	0.30662528657335347
58	-3.7366311828190833e-05	0	0.025065661981750326	-0.18808252827667324
59	-8.3207589277983768e-05	0	0.014455509333128247	0.16327565127375973
60	-8.9865422802837264e-05	0	0.019333872215597465	0.3216009458810774
61	-9.3462439984098872e-05	0	0.013672097599115326	0.040629824273346771
62	0	0	0.015809405498078088	0.23042048431678896
63	-0.00012849126761850239	0	0.027469586568753469	0.31210914253083033
64	-7.8267734137493772e-05	0	0.018517601132423019	0.10182168723165023
65	-4.8150805395330565e-05	0	0.02443075051856031	0.17600353334880509
66	0	0	0.013212607727121703	0.21912846567392216
67	-0.00016200413779161315	0	0.0099890641817756178	-0.093715020885906206
68	-5.2510703664560007e-05	0	0.020822984174059374	0.35379195641008643
69	-0.00017634037705913097	0	0.031018691786717179	0.48088089147281626
70	-2.8098093306483384e-05	0	0.022481823883393377	0.2888761176772775
71	-4.4098072578552248e-05	0	0.018331825361742951	0.21600298403927112
72	-8.5510167833152689e-05	0	0.026068830483540494	0.36483350559738315
73	-9.8922517188138046e-05	0	0.020082245922236685	0.12296896343532408
