validation_instance_id	repeat_id	primary_instance	workload_id	ranking_mode	mode_classifications	detail_kind	authority_index	candidate_index	authority_rank	candidate_rank	authority_site_digest	candidate_site_digest	target_overlap	query_representative_overlap	query_cluster_overlap	ungapped_tfo_equal	ungapped_tts_equal	target_endpoint_l1	query_endpoint_l1	cluster_center_distance	query_endpoint_shift	target_endpoint_shift	cluster_geometry_shift	rank_displacement	score_delta_candidate_minus_authority	nt_delta_candidate_minus_authority	stability_delta_candidate_minus_authority	strict_row_equal
bts3_w001__repeat00	0	1	bts3_w001	nt	same candidate site endpoint shift	matched	3	3	4	4	ed58f0ddbbb2707680c86b55767260d36772f7f96054a14324fc8d3d9e17c11f	ed58f0ddbbb2707680c86b55767260d36772f7f96054a14324fc8d3d9e17c11f	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1
bts3_w001__repeat00	0	1	bts3_w001	nt	same candidate site endpoint shift	matched	4	4	5	5	b424893d6d4b4af1807621eceaebbf4bebaeb2523063451d84fbe70a80e8de3c	b424893d6d4b4af1807621eceaebbf4bebaeb2523063451d84fbe70a80e8de3c	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1
bts3_w002__repeat00	0	1	bts3_w002	score		matched	0	0	1	1	03a8021436e5a5e7e067e2fbf16c538bab65e2bc732c669fec071f051b8c3f7c	03a8021436e5a5e7e067e2fbf16c538bab65e2bc732c669fec071f051b8c3f7c	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1
bts3_w002__repeat00	0	1	bts3_w002	score		matched	1	1	2	2	76b807eee069826373fe29f94c9f0e9a7c44c14704cae95347a8283c1af1ee33	76b807eee069826373fe29f94c9f0e9a7c44c14704cae95347a8283c1af1ee33	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1
bts3_w002__repeat00	0	1	bts3_w002	score		matched	2	2	3	3	50cdbb119ebb88194fec3b9fbcca8dbb5e300b9df57102a22680218b2adca3a6	50cdbb119ebb88194fec3b9fbcca8dbb5e300b9df57102a22680218b2adca3a6	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1
bts3_w002__repeat00	0	1	bts3_w002	score		matched	3	3	4	4	40db19c6ebd55a65be9510c2d531afceb54de78a290a9f64ec323f542052f303	40db19c6ebd55a65be9510c2d531afceb54de78a290a9f64ec323f542052f303	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1
bts3_w002__repeat00	0	1	bts3_w002	stability		matched	0	0	1	1	03a8021436e5a5e7e067e2fbf16c538bab65e2bc732c669fec071f051b8c3f7c	03a8021436e5a5e7e067e2fbf16c538bab65e2bc732c669fec071f051b8c3f7c	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1
bts3_w002__repeat00	0	1	bts3_w002	stability		matched	1	1	2	2	40db19c6ebd55a65be9510c2d531afceb54de78a290a9f64ec323f542052f303	40db19c6ebd55a65be9510c2d531afceb54de78a290a9f64ec323f542052f303	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1
bts3_w002__repeat00	0	1	bts3_w002	stability		matched	2	2	3	3	76b807eee069826373fe29f94c9f0e9a7c44c14704cae95347a8283c1af1ee33	76b807eee069826373fe29f94c9f0e9a7c44c14704cae95347a8283c1af1ee33	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1
bts3_w002__repeat00	0	1	bts3_w002	stability		matched	3	3	4	4	50cdbb119ebb88194fec3b9fbcca8dbb5e300b9df57102a22680218b2adca3a6	50cdbb119ebb88194fec3b9fbcca8dbb5e300b9df57102a22680218b2adca3a6	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1
bts3_w002__repeat00	0	1	bts3_w002	nt		matched	0	0	1	1	50cdbb119ebb88194fec3b9fbcca8dbb5e300b9df57102a22680218b2adca3a6	50cdbb119ebb88194fec3b9fbcca8dbb5e300b9df57102a22680218b2adca3a6	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1
bts3_w002__repeat00	0	1	bts3_w002	nt		matched	1	1	2	2	76b807eee069826373fe29f94c9f0e9a7c44c14704cae95347a8283c1af1ee33	76b807eee069826373fe29f94c9f0e9a7c44c14704cae95347a8283c1af1ee33	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1
bts3_w002__repeat00	0	1	bts3_w002	nt		matched	2	2	3	3	40db19c6ebd55a65be9510c2d531afceb54de78a290a9f64ec323f542052f303	40db19c6ebd55a65be9510c2d531afceb54de78a290a9f64ec323f542052f303	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1
bts3_w002__repeat00	0	1	bts3_w002	nt		matched	3	3	4	4	03a8021436e5a5e7e067e2fbf16c538bab65e2bc732c669fec071f051b8c3f7c	03a8021436e5a5e7e067e2fbf16c538bab65e2bc732c669fec071f051b8c3f7c	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1
bts3_w003__repeat00	0	1	bts3_w003	score	same candidate site endpoint shift	matched	0	0	1	1	fdf044a5cf6ed2075e8cfa8bda0a67125829c22db4142cf477e4052ffb492849	fdf044a5cf6ed2075e8cfa8bda0a67125829c22db4142cf477e4052ffb492849	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1
