run_id	workload_id	query_id	query_length_nt	target_id	supported	reason	gpu_fast_path_executed	status	receipt_path
n01_malat1_full_guard__pair00__preflight__0	n01_malat1_full_guard	MALAT1	8708	malat1_dna	0	query_length_contract	0	guarded	n01_malat1_full_guard__pair00__preflight__0/run-complete.json
n02_neat1_full_guard__pair00__preflight__0	n02_neat1_full_guard	NEAT1	22767	neat1_dna	0	query_length_contract	0	guarded	n02_neat1_full_guard__pair00__preflight__0/run-complete.json
n03_kcnq1ot1_full_guard__pair00__preflight__0	n03_kcnq1ot1_full_guard	KCNQ1OT1	91667	chr22_full	0	query_length_contract	0	guarded	n03_kcnq1ot1_full_guard__pair00__preflight__0/run-complete.json
