failure_id	validation_instance_id	workload_id	repeat_id	primary_instance	attempt_id	arm	failure_class	failure_reason	missing_output	input_identity_mismatch	ambiguous_matching	unexpected_fallback	retained_in_binary_denominator	replacement_or_retry_used	evidence_role
failure_029	r1_bt3_w093__repeat00	bt3_w093	0	1	r1_bt3_w093__repeat00_g	G	missing_attempt	attempt_receipt_missing_before_fixed_budget_or_execution_stop	1	0	0	0	1	0	fresh_concordance_promotion
failure_030	r1_bt3_w094__repeat00	bt3_w094	0	1	r1_bt3_w094__repeat00_g	G	missing_attempt	attempt_receipt_missing_before_fixed_budget_or_execution_stop	1	0	0	0	1	0	fresh_concordance_promotion
failure_031	r1_bt3_w094__repeat00	bt3_w094	0	1	r1_bt3_w094__repeat00_a	A	missing_attempt	attempt_receipt_missing_before_fixed_budget_or_execution_stop	1	0	0	0	1	0	fresh_concordance_promotion
failure_032	r1_bt3_w095__repeat00	bt3_w095	0	1	r1_bt3_w095__repeat00_a	A	missing_attempt	attempt_receipt_missing_before_fixed_budget_or_execution_stop	1	0	0	0	1	0	fresh_concordance_promotion
failure_033	r1_bt3_w095__repeat00	bt3_w095	0	1	r1_bt3_w095__repeat00_g	G	missing_attempt	attempt_receipt_missing_before_fixed_budget_or_execution_stop	1	0	0	0	1	0	fresh_concordance_promotion
failure_034	r1_bt3_w096__repeat00	bt3_w096	0	1	r1_bt3_w096__repeat00_g	G	missing_attempt	attempt_receipt_missing_before_fixed_budget_or_execution_stop	1	0	0	0	1	0	fresh_concordance_promotion
failure_035	r1_bt3_w096__repeat00	bt3_w096	0	1	r1_bt3_w096__repeat00_a	A	missing_attempt	attempt_receipt_missing_before_fixed_budget_or_execution_stop	1	0	0	0	1	0	fresh_concordance_promotion
failure_036	r1_bt3_w097__repeat00	bt3_w097	0	1	r1_bt3_w097__repeat00_a	A	missing_attempt	attempt_receipt_missing_before_fixed_budget_or_execution_stop	1	0	0	0	1	0	fresh_concordance_promotion
failure_037	r1_bt3_w097__repeat00	bt3_w097	0	1	r1_bt3_w097__repeat00_g	G	missing_attempt	attempt_receipt_missing_before_fixed_budget_or_execution_stop	1	0	0	0	1	0	fresh_concordance_promotion
failure_038	r1_bt3_w098__repeat00	bt3_w098	0	1	r1_bt3_w098__repeat00_g	G	missing_attempt	attempt_receipt_missing_before_fixed_budget_or_execution_stop	1	0	0	0	1	0	fresh_concordance_promotion
