run	baseline_wall_seconds	candidate_wall_seconds	baseline_exact_stage_seconds	candidate_exact_stage_seconds	baseline_exact_kernel_seconds	candidate_exact_kernel_seconds	baseline_exact_h2d_seconds	candidate_exact_h2d_seconds	baseline_exact_d2h_seconds	candidate_exact_d2h_seconds	baseline_exact_launches	candidate_exact_launches	exact_tasks	exact_cells	output_sha256
run_1	2.54	2.34	0.324119	0.233113	0.245158	0.22159	0.00543046	0.00548525	0.0204378	0.00263187	3	3	10368	51840000	805c0e5c6400ac7afd7c6a8e7b42634a7a10e43999882d8c6c45c646a7ea5511
run_2	2.52	2.36	0.314083	0.233601	0.234968	0.222061	0.00544736	0.005596	0.0199591	0.00261814	3	3	10368	51840000	805c0e5c6400ac7afd7c6a8e7b42634a7a10e43999882d8c6c45c646a7ea5511
run_3	2.49	2.37	0.315345	0.235765	0.236138	0.224074	0.0055793	0.00552522	0.0203819	0.00281923	3	3	10368	51840000	805c0e5c6400ac7afd7c6a8e7b42634a7a10e43999882d8c6c45c646a7ea5511
run_4	2.51	2.36	0.314802	0.235401	0.235466	0.223709	0.00530989	0.00553875	0.0202928	0.0026455	3	3	10368	51840000	805c0e5c6400ac7afd7c6a8e7b42634a7a10e43999882d8c6c45c646a7ea5511
run_5	2.49	2.35	0.314071	0.235049	0.234862	0.223286	0.00544883	0.00548445	0.0203234	0.00276144	3	3	10368	51840000	805c0e5c6400ac7afd7c6a8e7b42634a7a10e43999882d8c6c45c646a7ea5511
