workload_name	status	decision	target	query	mode	workers	group_target_records	output_mode	gasal2_runtime_env	tracebacks_requested	eligibility_attempts	retained_final_rows	removed_attempts	pretraceback_span_provable	pretraceback_span_fraction_of_traceback	pretraceback_span_fraction_of_removed	post_traceback_only_attempts	unknown_eligibility_attempts	mapped_removed_attempts	unmapped_removed_attempts	cigar_dependent_duplicate	cigar_dependent_span	same_final_row_different_descriptor	sort_or_dominance_removed	full_output_safe_candidate_attempts	false_prune_shadow	missing_rows_shadow	extra_rows_shadow	baseline_lite_rows	candidate_lite_rows	full_lite_missing_rows	full_lite_extra_rows	baseline_tfosorted_rows	candidate_tfosorted_rows	full_tfosorted_missing_rows	full_tfosorted_extra_rows	top5_score_equal	top5_stability_equal	top5_nt_score_equal	timing_split_available	gasal2_wall_seconds	gasal2_extend_seconds	gasal2_convert_seconds	gasal2_traceback_seconds	exact_column_seconds	output_write_seconds	projected_saved_traceback_requests	projected_saved_traceback_fraction	projected_saved_traceback_seconds	projected_wall_speedup_if_span_pruned	artifact_provenance	notes
chr22_full_plain	complete	weak_go_more_characterization_needed	chr22.fa	H19.fa	full_plain	1	null	lite	FASIM_GASAL2_PRETRACEBACK_PRUNING_ELIGIBILITY=1	6910419	6910419	388817	6521602	896062	0.129668	0.137399	5625540	0	81028	6440574	3198065	2296854	81028	49593	0	0	0	0	388822	388822	0	0	388822	388822	0	0	true	true	true	false	90.993600	67.136900	44.511800	unknown	12.005000	1.428260	896062	0.129668	unknown	unknown	.tmp/characterize_fasim_gasal2_pretraceback_span_real_workloads_real/chr22_full_plain/candidate	rerun; traceback timing not split from extend
malat1_group32_two_contract	complete	no_go_span_bucket_not_material	MALAT1-DNAseq.fa	MALAT1.fa	group32_two_contract	1	32	lite	FASIM_GASAL2_PRETRACEBACK_PRUNING_ELIGIBILITY=1	0	0	0	0	0	unknown	unknown	0	0	0	0	0	0	0	0	0	0	0	0	796	796	0	0	796	796	0	0	true	true	true	false	21.504300	0.000000	0.000000	unknown	0.000000	0.002451	0	unknown	unknown	unknown	.tmp/manual_malat1_span_probe/candidate.report.json	fresh RUN_WORKLOADS=1 runner two-contract control; eligibility active but GASAL2 traceback requests are zero; traceback timing not split from extend
neat1_attempt_consumer_control	complete	no_go_span_bucket_not_material	NEAT1-DNAseq.fa	NEAT1.fa	attempt_consumer_control	1	null	lite	FASIM_GASAL2_PRETRACEBACK_PRUNING_ELIGIBILITY=1	0	0	0	0	0	unknown	unknown	0	0	0	0	0	0	0	0	0	0	0	0	2838	2838	0	0	2838	2838	0	0	true	true	true	false	581.230830	0.000000	0.000000	unknown	0.000000	0.009486	0	unknown	unknown	unknown	.tmp/manual_neat1_span_probe/candidate.report.json	fresh RUN_WORKLOADS=1 attempt-consumer control; eligibility active but GASAL2 traceback requests are zero; traceback timing not split from extend
