grid_shift	run	wall_seconds	column_pruned_enabled	exact_batches	exact_tasks	exact_cells	compact_batches	column_wall_seconds	column_kernel_seconds	column_h2d_seconds	column_d2h_seconds	compact_wall_seconds	compact_kernel_seconds	compact_h2d_seconds	compact_d2h_seconds	fallbacks
0	run_0	71.547667	0	94	384816	1924080000	0	7.75439	4.76709	0.193523	0.768412	0.0	0.0	0.0	0.0	0
0	run_1	70.548863	0	94	384816	1924080000	0	7.50968	4.47778	0.195241	0.776014	0.0	0.0	0.0	0.0	0
0	run_10	77.808435	0	94	384816	1924080000	0	7.4012	4.40005	0.195141	0.778032	0.0	0.0	0.0	0.0	0
0	run_11	67.171457	0	94	384816	1924080000	0	7.42427	4.46424	0.197718	0.739631	0.0	0.0	0.0	0.0	0
0	run_12	67.715143	0	94	384816	1924080000	0	7.47656	4.48221	0.198767	0.735002	0.0	0.0	0.0	0.0	0
0	run_13	80.862696	0	94	384816	1924080000	0	7.55943	4.53263	0.20049	0.732581	0.0	0.0	0.0	0.0	0
0	run_14	72.996911	0	94	384816	1924080000	0	7.59101	4.57965	0.199095	0.751485	0.0	0.0	0.0	0.0	0
0	run_15	80.33827	0	94	384816	1924080000	0	7.4233	4.39084	0.198658	0.761497	0.0	0.0	0.0	0.0	0
0	run_16	70.29389	0	94	384816	1924080000	0	7.59689	4.51595	0.200249	0.771195	0.0	0.0	0.0	0.0	0
0	run_17	83.171624	0	94	384816	1924080000	0	7.49601	4.47938	0.195804	0.777742	0.0	0.0	0.0	0.0	0
0	run_18	80.035405	0	94	384816	1924080000	0	7.403	4.42196	0.193017	0.764863	0.0	0.0	0.0	0.0	0
0	run_19	75.56789	0	94	384816	1924080000	0	7.36955	4.41618	0.195172	0.751961	0.0	0.0	0.0	0.0	0
0	run_2	75.163411	0	94	384816	1924080000	0	7.49472	4.47565	0.194712	0.769754	0.0	0.0	0.0	0.0	0
0	run_20	77.899231	0	94	384816	1924080000	0	7.46694	4.45231	0.197236	0.747764	0.0	0.0	0.0	0.0	0
0	run_21	87.825296	0	94	384816	1924080000	0	7.50934	4.54678	0.199103	0.736452	0.0	0.0	0.0	0.0	0
0	run_22	89.301669	0	94	384816	1924080000	0	7.5217	4.50705	0.203128	0.743129	0.0	0.0	0.0	0.0	0
0	run_23	83.836028	0	94	384816	1924080000	0	7.53785	4.47572	0.206698	0.769402	0.0	0.0	0.0	0.0	0
0	run_24	81.784397	0	94	384816	1924080000	0	7.54711	4.53658	0.200333	0.74188	0.0	0.0	0.0	0.0	0
0	run_25	74.865697	0	94	384816	1924080000	0	7.53573	4.51113	0.197556	0.744032	0.0	0.0	0.0	0.0	0
0	run_26	73.681016	0	94	384816	1924080000	0	7.55805	4.50065	0.194624	0.766595	0.0	0.0	0.0	0.0	0
0	run_27	75.874176	0	94	384816	1924080000	0	7.57835	4.51552	0.196682	0.770241	0.0	0.0	0.0	0.0	0
0	run_28	85.111687	0	94	384816	1924080000	0	7.52863	4.49695	0.192121	0.762632	0.0	0.0	0.0	0.0	0
0	run_29	90.075583	0	94	384816	1924080000	0	7.47376	4.44842	0.192735	0.766642	0.0	0.0	0.0	0.0	0
0	run_3	78.569548	0	94	384816	1924080000	0	7.39521	4.38409	0.194447	0.774799	0.0	0.0	0.0	0.0	0
0	run_30	84.256577	0	94	384816	1924080000	0	7.49532	4.47385	0.199506	0.756123	0.0	0.0	0.0	0.0	0
0	run_31	74.280325	0	94	384816	1924080000	0	7.51823	4.44464	0.193362	0.750275	0.0	0.0	0.0	0.0	0
0	run_32	59.08569	0	94	384816	1924080000	0	7.57672	4.53661	0.198758	0.75542	0.0	0.0	0.0	0.0	0
0	run_33	69.31084	0	94	384816	1924080000	0	7.68858	4.61181	0.201223	0.754009	0.0	0.0	0.0	0.0	0
0	run_34	67.814544	0	94	384816	1924080000	0	7.56673	4.48802	0.200938	0.771587	0.0	0.0	0.0	0.0	0
0	run_35	72.16655	0	94	384816	1924080000	0	7.55584	4.47718	0.200992	0.772471	0.0	0.0	0.0	0.0	0
0	run_36	63.247261	0	94	384816	1924080000	0	7.26328	4.5277	0.201471	0.752192	0.0	0.0	0.0	0.0	0
